,fighter,training,centerforward,chance,sprinter,ring,lineman,line,pitchers,forward,tackle,shot,kick,out,single,crack,referee,sport,boxing,player,standard,knockout,score,team,teams,elgoal,jersey,coach,handicap,catch,dribbling,record,shoot,back,insider,winger,players,field,shortstop,second,ranking,match,club,games,centroforward,foul
counts_english_15_27_1942,0,3,0,16,10,72,0,38,0,22,0,14,0,16,17,129,2,40,7,15,10,1,63,369,60,2,2,10,2,3,2,176,1,38,17,3,6,41,0,15,5,211,324,3,0,5
counts_english_43_59_1943,11,1,0,39,23,129,3,46,1,36,1,34,3,23,25,392,28,78,0,77,9,5,95,247,24,2,1,8,3,2,3,254,1,38,36,15,41,43,1,13,20,341,387,5,0,21
counts_english_76_86_1944,1,3,0,30,14,103,0,41,0,39,6,13,2,13,17,161,18,61,1,31,8,1,35,186,17,0,0,8,20,0,4,149,0,35,25,7,17,12,0,11,8,194,167,2,0,18
counts_english_120_137_1945,7,3,0,53,16,237,1,68,0,75,0,17,2,53,24,221,63,114,0,87,18,16,135,410,38,2,2,37,17,3,18,356,4,50,71,18,40,40,0,7,8,500,402,5,0,62
counts_english_173_189_1946,0,3,0,35,5,181,0,72,0,81,0,23,0,25,37,104,52,66,2,50,18,7,115,462,44,0,13,12,16,1,10,289,0,28,74,43,27,33,0,9,8,417,340,1,0,35
counts_english_225_241_1947,0,2,0,15,12,152,0,56,0,75,0,22,4,21,31,122,115,61,0,35,25,1,151,428,25,0,16,14,19,7,12,326,0,27,71,20,16,91,0,5,11,332,292,6,0,52
counts_english_277_293_1948,4,3,0,20,7,157,0,62,1,39,0,14,0,26,27,105,129,38,0,26,15,5,102,451,36,0,7,12,6,1,10,229,3,36,78,10,20,48,0,10,12,304,261,6,0,43
counts_english_329_346_1949,0,1,0,22,0,137,0,55,0,63,0,6,0,34,24,132,89,50,0,9,20,7,89,445,24,0,1,9,12,14,7,226,0,95,68,14,5,25,0,6,8,255,306,1,0,23
counts_english_381_398_1950,2,1,0,24,8,151,0,47,0,46,0,8,0,27,49,92,9,54,1,6,14,7,62,396,13,0,16,19,21,0,11,132,0,13,33,2,1,9,0,5,24,152,209,4,0,17
counts_english_433_450_1951,12,0,0,18,0,111,0,27,0,92,1,12,2,17,41,109,7,68,0,14,11,6,75,277,15,1,15,12,3,0,15,154,3,51,82,27,4,26,0,8,7,181,253,4,0,30
counts_english_486_502_1952,1,1,0,14,2,88,0,64,0,70,1,18,0,21,38,128,89,61,1,6,15,4,81,266,10,0,6,10,6,0,7,151,0,41,52,3,3,15,0,17,11,209,298,1,0,18
counts_english_529_554_1953,5,0,0,12,6,154,0,79,0,194,3,18,2,23,50,148,85,130,1,3,37,3,133,444,20,0,10,29,19,2,21,245,0,55,73,20,2,30,0,11,16,445,379,3,0,41
