,fighter,training,centerforward,chance,sprinter,ring,lineman,line,pitchers,forward,tackle,shot,kick,out,single,crack,referee,sport,boxing,player,standard,knockout,score,team,teams,elgoal,jersey,coach,handicap,catch,dribbling,record,shoot,back,insider,winger,players,field,shortstop,second,ranking,match,club,games,centroforward,foul
counts_english_1457_1483_1971,1,0,0,20,3,59,0,68,0,4,2,1,0,23,16,28,13,93,2,8,20,0,32,154,0,0,0,5,4,0,5,339,0,3,0,2,6,30,0,12,38,83,567,1,0,35
counts_english_1523_1535_1972,0,0,0,6,0,84,0,63,0,7,3,4,0,19,19,36,20,87,1,2,7,0,20,125,0,0,5,3,6,0,7,331,1,4,1,0,1,8,0,6,18,108,610,1,0,43
counts_english_1573_1585_1973,0,0,0,6,0,56,0,61,0,7,4,5,1,29,40,41,16,65,1,2,4,1,28,138,0,0,3,5,26,0,9,192,0,3,1,1,1,4,0,7,13,108,723,3,0,57
counts_english_1599_1611_1974,0,1,0,13,5,63,0,77,0,20,4,10,3,29,20,25,21,66,0,2,10,2,20,97,4,0,7,3,10,0,4,274,0,5,0,0,2,4,0,8,20,138,637,0,0,43
counts_english_1673_1690_1975,0,1,0,7,0,56,0,82,0,7,3,2,1,15,10,13,12,21,0,5,3,0,16,104,0,0,8,2,3,0,12,95,0,7,1,0,3,2,0,0,7,114,411,1,0,47
counts_english_1725_1742_1976,1,0,0,16,1,80,0,74,0,6,0,3,0,16,19,25,3,70,0,2,2,0,15,132,3,0,2,1,2,0,9,98,0,4,0,0,0,10,0,1,80,77,330,5,0,54
counts_english_1778_1788_1977,0,1,0,10,1,82,0,154,0,2,0,4,1,16,17,7,5,72,1,1,3,1,7,101,0,0,3,1,3,0,6,95,0,1,1,1,1,2,0,5,36,54,387,0,0,60
counts_english_1826_1846_1978,0,0,0,9,1,65,0,154,0,1,1,5,1,23,38,15,3,32,0,2,5,0,10,122,0,0,10,1,2,0,4,185,1,2,0,0,0,20,0,4,84,39,550,1,0,44
counts_english_1860_1898_1979,0,0,0,7,1,45,0,150,0,2,3,0,2,25,14,5,3,73,0,7,0,0,11,106,2,0,0,43,6,0,1,136,0,4,0,0,1,21,0,2,35,138,343,0,0,56
counts_english_1912_1924_1980,0,0,0,18,0,71,2,157,0,1,2,0,2,32,17,9,2,41,0,4,0,0,16,105,0,0,0,54,4,0,5,157,0,6,1,0,1,14,0,3,28,161,365,1,0,43
counts_english_1977_1990_1981,0,0,0,9,2,57,0,108,0,5,0,4,0,15,11,21,2,31,0,2,11,0,15,126,2,0,0,4,8,2,5,162,0,1,0,0,0,3,0,17,22,144,375,0,0,21
counts_english_2004_2016_1982,0,0,0,6,0,89,0,135,0,1,0,5,3,29,19,67,0,42,1,1,1,0,19,85,0,0,0,3,4,1,2,135,0,1,0,0,0,14,0,2,59,50,550,0,0,34
